"run_timestamp","mode","source_path","source_exists_at_start","path_type","level","priority","recommendation","rationale","destination_path","action_status","size_mb"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_cleanup_summary_v19_20260622_121912.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_cleanup_summary_v19'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_cleanup_summary_v19_20260622_121912.csv","dry_run_planned","0.000124"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_duplicate_groups_v18_20260622_121947.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_duplicate_groups_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_duplicate_groups_v18_20260622_121947.csv","dry_run_planned","0.067831"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_duplicate_groups_v18_20260622_115637.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_duplicate_groups_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_duplicate_groups_v18_20260622_115637.csv","dry_run_planned","0.052053"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_file_inventory_v18_20260622_121947.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_file_inventory_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_file_inventory_v18_20260622_121947.csv","dry_run_planned","4.592602"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_file_inventory_v18_20260622_115637.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_file_inventory_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_file_inventory_v18_20260622_115637.csv","dry_run_planned","4.245399"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_folder_summary_v18_20260622_121947.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_folder_summary_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_folder_summary_v18_20260622_121947.csv","dry_run_planned","0.003434"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_folder_summary_v18_20260622_115637.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_folder_summary_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_folder_summary_v18_20260622_115637.csv","dry_run_planned","0.002403"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_scope_cleanup_plan_v19_20260622_124705.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_scope_cleanup_plan_v19'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_scope_cleanup_plan_v19_20260622_124705.csv","dry_run_planned","0.033304"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_scope_cleanup_plan_v19_20260622_124701.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_scope_cleanup_plan_v19'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_scope_cleanup_plan_v19_20260622_124701.csv","dry_run_planned","0.031885"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_scope_cleanup_summary_v19_20260622_124705.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_scope_cleanup_summary_v19'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_scope_cleanup_summary_v19_20260622_124705.csv","dry_run_planned","0.002223"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_scope_cleanup_summary_v19_20260622_124701.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_scope_cleanup_summary_v19'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_scope_cleanup_summary_v19_20260622_124701.csv","dry_run_planned","0.000433"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_workbook_sheet_inventory_v18_20260622_121947.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_workbook_sheet_inventory_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_workbook_sheet_inventory_v18_20260622_121947.csv","dry_run_planned","0.322427"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_workbook_sheet_inventory_v18_20260622_115637.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_workbook_sheet_inventory_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_workbook_sheet_inventory_v18_20260622_115637.csv","dry_run_planned","0.303344"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_zip_member_inventory_v18_20260622_121947.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_zip_member_inventory_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_zip_member_inventory_v18_20260622_121947.csv","dry_run_planned","0.050613"
"20260622_125623","DRY_RUN","outputs\audits\raw_abs_zip_member_inventory_v18_20260622_115637.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_abs_zip_member_inventory_v18'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_abs_zip_member_inventory_v18_20260622_115637.csv","dry_run_planned","0.047592"
"20260622_125623","DRY_RUN","outputs\audits\raw_folder_cleanup_plan_v16_20260622_114529.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_folder_cleanup_plan_v16'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_folder_cleanup_plan_v16_20260622_114529.csv","dry_run_planned","0.012816"
"20260622_125623","DRY_RUN","outputs\audits\raw_folder_cleanup_plan_v16_20260622_114510.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_folder_cleanup_plan_v16'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_folder_cleanup_plan_v16_20260622_114510.csv","dry_run_planned","0.012741"
"20260622_125623","DRY_RUN","outputs\audits\raw_folder_cleanup_summary_v16_20260622_114529.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_folder_cleanup_summary_v16'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_folder_cleanup_summary_v16_20260622_114529.csv","dry_run_planned","0.000163"
"20260622_125623","DRY_RUN","outputs\audits\raw_folder_cleanup_summary_v16_20260622_114510.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_folder_cleanup_summary_v16'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_folder_cleanup_summary_v16_20260622_114510.csv","dry_run_planned","0.000116"
"20260622_125623","DRY_RUN","outputs\audits\raw_register_path_reconciliation_cleanup_plans_used_v17_20260622_115006.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_register_path_reconciliation_cleanup_plans_used_v17'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_register_path_reconciliation_cleanup_plans_used_v17_20260622_115006.csv","dry_run_planned","0.000222"
"20260622_125623","DRY_RUN","outputs\audits\raw_register_path_reconciliation_summary_v17_20260622_115006.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'raw_register_path_reconciliation_summary_v17'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\raw_register_path_reconciliation_summary_v17_20260622_115006.csv","dry_run_planned","0.001012"
"20260622_125623","DRY_RUN","outputs\audits\remaining_raw_source_acquisition_register_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115006.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'remaining_raw_source_acquisition_register_v13_RECONCILED_AFTER_RAW_CLEANUP_v17'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\remaining_raw_source_acquisition_register_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115006.csv","dry_run_planned","0.013356"
"20260622_125623","DRY_RUN","outputs\audits\remaining_raw_source_candidate_link_audit_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115006.csv","True","file","archive_now_after_latest_confirmed","low","archive","Older timestamped audit output for 'remaining_raw_source_candidate_link_audit_v13_RECONCILED_AFTER_RAW_CLEANUP_v17'. Keep latest active, archive prior runs.","outputs\archive\audit_history_pre_freeze\remaining_raw_source_candidate_link_audit_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115006.csv","dry_run_planned","0.026237"
